"Area","MTU","Biomass - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"CTA|ES","01.01.2025 23:45 - 02.01.2025 00:00 (CET/CEST)","364","0","0","6932","336","8","0","0","0","876","0","904","1712","0","7120","12","68","76","180","0","5232"
"CTA|ES","02.01.2025 00:00 - 02.01.2025 00:15 (CET/CEST)","364","0","0","6472","336","8","0","0","0","680","12","896","1628","0","7120","12","64","76","180","0","5268"
"CTA|ES","02.01.2025 00:15 - 02.01.2025 00:30 (CET/CEST)","372","0","0","6840","336","8","0","0","0","416","212","884","1556","0","7120","12","64","12","176","0","5296"
"CTA|ES","02.01.2025 00:30 - 02.01.2025 00:45 (CET/CEST)","368","0","0","6840","336","8","0","0","0","80","320","896","1236","0","7124","12","64","4","176","0","5312"
"CTA|ES","02.01.2025 00:45 - 02.01.2025 01:00 (CET/CEST)","368","0","0","6368","336","8","0","0","0","0","428","896","1260","0","7124","12","64","4","176","0","5304"
"CTA|ES","02.01.2025 01:00 - 02.01.2025 01:15 (CET/CEST)","368","0","0","6096","308","8","0","0","0","0","484","880","1272","0","7124","8","64","4","176","0","5344"
"CTA|ES","02.01.2025 01:15 - 02.01.2025 01:30 (CET/CEST)","372","0","0","6244","280","8","0","0","0","0","464","864","1060","0","7120","8","64","4","176","0","5364"
"CTA|ES","02.01.2025 01:30 - 02.01.2025 01:45 (CET/CEST)","368","0","0","5872","268","8","0","0","0","0","440","864","888","0","7120","8","60","4","176","0","5420"
"CTA|ES","02.01.2025 01:45 - 02.01.2025 02:00 (CET/CEST)","368","0","0","5716","268","8","0","0","0","0","564","840","844","0","7120","8","60","4","176","0","5468"
"CTA|ES","02.01.2025 02:00 - 02.01.2025 02:15 (CET/CEST)","368","0","0","5692","268","8","0","0","0","0","1076","844","844","0","7120","12","64","4","176","0","5512"
"CTA|ES","02.01.2025 02:15 - 02.01.2025 02:30 (CET/CEST)","368","0","0","5996","276","8","0","0","0","0","1304","844","816","0","7120","8","60","4","176","0","5504"
"CTA|ES","02.01.2025 02:30 - 02.01.2025 02:45 (CET/CEST)","368","0","0","6044","276","8","0","0","0","0","1900","832","812","0","7120","12","64","4","176","0","5512"
